duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,num_failed_logins,land,wrong_fragment,urgent,label
1.28,tcp,smtp,SF,409.0,508.0,6.0,8.0,0,0,0,0,normal
0.17,tcp,ftp,REJ,5524.0,0.0,31.0,64.0,0,0,0,0,attack
0.19,tcp,http,SF,683.0,367.0,11.0,6.0,0,0,0,0,normal
0.03,icmp,dns,REJ,3755.0,126.0,26.0,24.0,3,0,0,0,attack
0.17,udp,ftp,SF,719.0,486.0,10.0,2.0,0,0,0,0,normal
1.95,tcp,private,SF,297.0,514.0,0.0,10.0,0,0,0,0,normal
2.7,udp,smtp,SF,543.0,319.0,0.0,6.0,0,0,0,0,normal
0.26,icmp,ftp,S0,3331.0,39.0,75.0,46.0,0,0,1,0,attack
0.25,icmp,smtp,REJ,4236.0,87.0,56.0,17.0,1,0,0,0,attack
1.92,tcp,private,RSTO,531.0,684.0,7.0,10.0,0,0,0,0,normal
0.16,udp,smtp,SF,0.0,436.0,14.0,9.0,0,0,0,0,normal
0.17,tcp,http,S0,3224.0,72.0,22.0,76.0,1,0,2,0,attack
0.44,tcp,private,S0,5237.0,59.0,75.0,34.0,1,0,2,0,attack
0.03,icmp,private,SF,3881.0,78.0,38.0,77.0,2,0,0,0,attack
1.52,tcp,ftp,SF,473.0,405.0,15.0,11.0,0,0,0,0,normal
0.18,udp,http,RSTO,3317.0,8.0,65.0,33.0,0,0,0,0,attack
0.05,icmp,private,SF,3262.0,17.0,38.0,72.0,3,0,0,0,attack
1.37,tcp,ssh,SF,81.0,541.0,10.0,7.0,0,0,0,0,normal
3.29,tcp,ssh,SF,453.0,540.0,5.0,8.0,0,0,0,0,normal
2.92,tcp,ftp,SF,816.0,844.0,0.0,12.0,0,0,0,0,normal
0.12,tcp,http,S0,5234.0,46.0,21.0,24.0,3,1,2,0,attack
0.51,tcp,http,S0,4580.0,0.0,79.0,21.0,1,1,0,0,attack
0.28,tcp,ssh,RSTO,3358.0,96.0,47.0,37.0,3,0,0,0,attack
1.77,udp,http,REJ,1155.0,343.0,9.0,11.0,0,0,0,0,normal
0.13,udp,private,SF,444.0,696.0,11.0,5.0,0,0,0,0,normal
0.29,tcp,http,S0,3437.0,62.0,56.0,72.0,1,0,1,0,attack
0.03,icmp,ssh,S0,3851.0,86.0,32.0,56.0,0,0,0,1,attack
0.02,tcp,ssh,SF,155.0,418.0,8.0,7.0,0,0,0,0,normal
4.18,tcp,ftp,SF,55.0,653.0,0.0,10.0,0,0,0,0,normal
2.25,tcp,private,SF,183.0,683.0,7.0,6.0,0,0,0,0,normal
0.12,tcp,http,SF,244.0,497.0,16.0,8.0,0,0,0,0,normal
1.94,udp,smtp,SF,0.0,257.0,6.0,13.0,0,0,0,0,normal
1.53,tcp,private,SF,588.0,458.0,7.0,1.0,0,0,0,0,normal
0.47,tcp,ssh,SF,410.0,399.0,9.0,13.0,0,0,0,0,normal
1.44,tcp,dns,RSTO,158.0,567.0,4.0,7.0,0,0,0,0,normal
2.38,udp,smtp,SF,493.0,743.0,5.0,9.0,0,0,0,0,attack
0.74,icmp,smtp,REJ,3552.0,95.0,43.0,73.0,0,0,0,0,attack
0.17,tcp,private,SF,2625.0,100.0,75.0,21.0,3,0,1,0,attack
0.16,icmp,smtp,REJ,4898.0,27.0,51.0,72.0,2,0,0,0,attack
2.45,tcp,ssh,REJ,0.0,363.0,10.0,1.0,1,0,0,0,normal
0.5,tcp,ssh,SF,568.0,368.0,13.0,11.0,0,0,0,0,normal
2.31,tcp,private,SF,390.0,686.0,7.0,1.0,0,0,0,0,normal
0.07,udp,ssh,SF,305.0,428.0,13.0,1.0,0,0,0,0,normal
0.25,icmp,http,REJ,3756.0,48.0,73.0,53.0,1,0,1,0,attack
0.16,tcp,http,S0,4281.0,119.0,23.0,31.0,3,0,1,0,attack
1.21,tcp,http,SF,541.0,406.0,5.0,6.0,0,0,0,0,normal
0.24,udp,ftp,SF,23.0,664.0,8.0,16.0,0,0,0,0,normal
0.88,udp,smtp,SF,458.0,495.0,2.0,14.0,0,0,0,0,normal
3.46,udp,smtp,SF,307.0,220.0,10.0,3.0,0,0,0,0,normal
0.63,tcp,ssh,SF,416.0,648.0,11.0,8.0,0,0,0,0,normal
1.37,udp,ftp,SF,425.0,681.0,2.0,15.0,0,0,0,0,normal
0.48,tcp,ftp,REJ,15.0,252.0,12.0,5.0,0,0,0,0,normal
0.03,tcp,http,S0,355.0,699.0,12.0,16.0,0,0,0,0,normal
1.19,tcp,http,SF,146.0,462.0,6.0,8.0,0,0,0,0,normal
0.3,tcp,http,S0,4358.0,52.0,36.0,40.0,1,0,0,0,attack
2.43,tcp,private,SF,27.0,603.0,0.0,1.0,0,0,0,0,normal
0.06,tcp,smtp,SF,614.0,769.0,4.0,0.0,1,0,0,0,normal
0.34,tcp,http,S0,3076.0,17.0,64.0,54.0,1,0,0,0,attack
1.72,tcp,ftp,SF,466.0,633.0,0.0,12.0,0,0,0,0,normal
2.69,tcp,ftp,SF,404.0,668.0,0.0,4.0,0,0,0,0,normal
7.92,tcp,ssh,SF,0.0,563.0,4.0,4.0,0,0,0,0,normal
4.01,tcp,http,S0,0.0,368.0,16.0,8.0,0,0,0,0,normal
6.75,udp,http,S0,402.0,313.0,10.0,11.0,0,0,0,0,normal
0.16,tcp,ftp,REJ,2217.0,107.0,23.0,78.0,3,0,1,0,attack
0.03,udp,private,S0,2381.0,28.0,21.0,30.0,3,0,0,0,attack
0.02,tcp,http,S0,3547.0,80.0,36.0,27.0,2,0,1,0,attack
0.76,udp,http,SF,687.0,566.0,8.0,0.0,0,0,0,0,normal
1.34,tcp,dns,SF,278.0,616.0,2.0,16.0,0,0,0,0,normal
1.71,tcp,ftp,SF,758.0,564.0,9.0,5.0,0,0,0,0,normal
1.43,udp,smtp,SF,519.0,680.0,7.0,10.0,1,0,0,0,normal
0.21,tcp,private,REJ,3064.0,167.0,53.0,33.0,2,0,0,0,attack
0.62,tcp,ssh,SF,241.0,551.0,4.0,4.0,0,0,0,0,normal
11.12,tcp,ftp,SF,286.0,496.0,6.0,10.0,0,0,0,0,normal
6.21,tcp,private,SF,870.0,453.0,7.0,10.0,1,0,0,0,normal
1.51,udp,dns,SF,271.0,279.0,6.0,5.0,0,0,0,0,normal
0.12,tcp,ssh,SF,141.0,487.0,6.0,12.0,0,0,0,0,normal
1.17,tcp,ssh,REJ,156.0,672.0,4.0,11.0,0,0,0,0,normal
0.47,udp,dns,SF,405.0,506.0,0.0,10.0,0,0,0,0,normal
0.86,tcp,http,S0,3745.0,85.0,54.0,45.0,2,0,0,0,attack
0.12,tcp,ssh,SF,799.0,462.0,15.0,1.0,1,0,0,0,normal
2.75,tcp,dns,SF,112.0,722.0,15.0,7.0,1,0,0,0,normal
3.22,tcp,ftp,SF,271.0,439.0,8.0,3.0,0,0,0,0,normal
0.23,tcp,smtp,SF,340.0,412.0,13.0,1.0,0,0,0,0,normal
0.97,icmp,http,REJ,2631.0,22.0,35.0,33.0,1,0,0,0,attack
6.59,tcp,private,SF,393.0,543.0,2.0,5.0,1,0,0,0,normal
0.81,tcp,smtp,S0,256.0,400.0,3.0,6.0,0,0,0,0,normal
1.28,tcp,ftp,SF,839.0,514.0,0.0,1.0,0,0,0,0,normal
0.09,icmp,private,REJ,5095.0,194.0,42.0,33.0,2,1,1,1,normal
3.14,tcp,dns,SF,224.0,290.0,1.0,10.0,0,0,0,0,normal
0.59,tcp,smtp,SF,332.0,542.0,11.0,7.0,0,0,0,0,normal
0.45,icmp,http,S0,6057.0,0.0,70.0,74.0,1,0,2,0,attack
10.28,tcp,http,SF,0.0,595.0,7.0,0.0,0,0,0,0,normal
0.53,udp,ssh,SF,72.0,732.0,16.0,18.0,0,0,0,0,normal
1.21,tcp,dns,RSTO,656.0,371.0,3.0,3.0,0,0,0,0,normal
7.32,udp,ssh,SF,519.0,745.0,9.0,10.0,0,0,0,0,normal
1.94,tcp,http,RSTO,0.0,373.0,15.0,8.0,0,0,0,0,normal
1.68,udp,dns,SF,184.0,516.0,1.0,10.0,0,0,0,0,normal
0.18,tcp,private,S0,2825.0,51.0,55.0,75.0,2,0,1,0,attack
4.13,tcp,ftp,SF,412.0,369.0,5.0,7.0,0,0,0,0,normal
4.81,tcp,smtp,SF,0.0,698.0,5.0,12.0,0,0,0,0,normal
0.07,tcp,ftp,REJ,5047.0,151.0,75.0,75.0,3,0,0,0,attack
4.61,udp,http,SF,514.0,717.0,8.0,10.0,0,0,0,0,normal
0.18,tcp,http,REJ,6081.0,49.0,82.0,73.0,1,0,0,0,attack
1.47,tcp,ftp,SF,275.0,610.0,5.0,1.0,0,0,0,0,normal
0.37,tcp,dns,SF,92.0,540.0,13.0,10.0,0,0,0,0,normal
0.15,icmp,private,S0,2814.0,0.0,32.0,64.0,1,0,0,0,attack
1.79,udp,ftp,REJ,0.0,599.0,9.0,1.0,0,0,0,0,normal
3.01,tcp,smtp,S0,901.0,974.0,4.0,9.0,1,0,0,0,normal
0.73,udp,private,S0,180.0,564.0,11.0,11.0,0,0,0,0,normal
0.1,icmp,private,S0,2805.0,34.0,32.0,54.0,1,0,2,0,attack
0.53,tcp,private,SF,2290.0,60.0,38.0,42.0,1,0,2,0,attack
1.21,tcp,private,S0,6246.0,108.0,62.0,20.0,1,0,0,0,attack
0.15,icmp,private,S0,6359.0,67.0,70.0,20.0,3,0,1,0,attack
0.01,icmp,smtp,SF,250.0,649.0,9.0,12.0,0,0,0,0,normal
2.37,tcp,ftp,S0,290.0,505.0,7.0,2.0,0,0,0,0,normal
0.03,tcp,http,REJ,4498.0,102.0,28.0,44.0,2,0,0,0,attack
0.39,icmp,private,S0,4910.0,88.0,23.0,73.0,1,0,1,0,attack
0.02,udp,http,S0,4585.0,43.0,57.0,60.0,1,0,0,0,attack
0.32,icmp,http,S0,3475.0,31.0,24.0,43.0,1,0,0,0,attack
0.05,icmp,private,S0,2410.0,70.0,37.0,64.0,3,0,0,0,attack
1.58,tcp,dns,SF,836.0,585.0,5.0,7.0,1,0,0,0,normal
1.27,tcp,private,SF,311.0,283.0,0.0,10.0,0,0,0,0,attack
0.89,icmp,http,RSTO,4143.0,0.0,42.0,40.0,1,0,0,1,attack
1.08,tcp,private,SF,616.0,121.0,10.0,0.0,1,0,0,0,normal
1.02,tcp,smtp,SF,861.0,340.0,11.0,10.0,1,0,0,0,normal
0.31,tcp,private,SF,244.0,665.0,5.0,8.0,1,0,0,0,normal
0.32,icmp,smtp,REJ,2576.0,66.0,51.0,58.0,1,0,0,0,attack
1.23,tcp,ftp,RSTO,3229.0,69.0,82.0,37.0,3,0,2,0,attack
0.23,tcp,http,S0,6637.0,28.0,35.0,38.0,2,0,1,0,attack
0.52,tcp,http,SF,203.0,303.0,5.0,11.0,0,0,0,0,normal
0.16,tcp,smtp,SF,0.0,400.0,1.0,6.0,0,0,0,0,normal
2.62,icmp,ftp,SF,733.0,265.0,18.0,8.0,0,0,0,0,normal
2.68,tcp,ssh,SF,52.0,354.0,5.0,6.0,0,0,0,0,normal
0.16,icmp,http,REJ,3538.0,34.0,78.0,57.0,3,0,0,0,attack
1.56,tcp,dns,SF,338.0,433.0,5.0,7.0,0,0,0,0,normal
19.04,icmp,ftp,SF,354.0,374.0,0.0,3.0,1,0,0,0,normal
1.99,tcp,ftp,SF,210.0,833.0,4.0,15.0,1,0,0,0,normal
4.33,tcp,ssh,SF,5.0,390.0,7.0,9.0,0,0,0,0,normal
3.1,udp,ftp,SF,246.0,538.0,17.0,6.0,0,0,0,0,normal
5.02,udp,dns,SF,401.0,748.0,15.0,4.0,0,0,0,0,normal
0.04,icmp,http,REJ,4816.0,24.0,65.0,27.0,1,1,1,0,attack
0.55,udp,private,SF,233.0,393.0,15.0,7.0,1,0,0,0,normal
1.8,tcp,ftp,SF,206.0,436.0,16.0,0.0,0,0,0,0,normal
1.58,tcp,http,SF,560.0,682.0,12.0,8.0,0,0,0,0,normal
0.27,tcp,dns,SF,573.0,463.0,7.0,13.0,0,0,0,0,attack
0.57,tcp,http,SF,225.0,947.0,14.0,0.0,0,0,0,0,normal
0.9,udp,http,SF,704.0,826.0,9.0,5.0,1,0,0,0,normal
6.13,tcp,ssh,SF,452.0,456.0,11.0,0.0,0,0,0,0,normal
6.78,tcp,ftp,SF,468.0,591.0,9.0,8.0,1,0,0,0,normal
2.35,tcp,private,SF,0.0,593.0,4.0,2.0,0,0,0,0,normal
0.46,udp,ftp,SF,268.0,605.0,17.0,4.0,1,0,0,0,normal
1.37,icmp,ssh,REJ,3299.0,0.0,21.0,59.0,3,0,0,0,attack
0.31,tcp,smtp,S0,125.0,491.0,8.0,11.0,1,0,0,0,normal
0.99,tcp,private,SF,354.0,449.0,3.0,7.0,0,0,0,0,normal
6.99,tcp,private,REJ,0.0,601.0,11.0,11.0,1,0,0,0,normal
0.32,tcp,smtp,S0,4772.0,18.0,66.0,64.0,2,0,0,0,attack
0.54,tcp,smtp,SF,148.0,542.0,13.0,14.0,0,0,0,0,normal
0.03,tcp,ftp,SF,0.0,646.0,10.0,10.0,0,0,0,0,normal
2.02,udp,private,SF,258.0,851.0,12.0,0.0,0,0,0,0,normal
6.54,tcp,private,SF,11.0,564.0,3.0,2.0,0,0,0,0,normal
1.03,tcp,http,RSTO,5145.0,41.0,48.0,47.0,0,0,0,0,attack
0.09,udp,dns,REJ,4685.0,34.0,38.0,70.0,0,0,0,0,attack
0.24,tcp,dns,RSTO,3284.0,0.0,44.0,74.0,3,0,0,0,attack
0.51,tcp,smtp,SF,0.0,137.0,3.0,18.0,1,0,0,0,normal
7.52,tcp,ssh,SF,393.0,647.0,1.0,9.0,0,0,0,0,normal
0.36,tcp,ssh,SF,426.0,707.0,6.0,7.0,0,0,0,0,normal
0.44,icmp,private,RSTO,4272.0,38.0,73.0,62.0,1,0,0,0,attack
0.43,tcp,http,S0,4295.0,60.0,35.0,36.0,1,0,0,0,attack
0.88,icmp,http,S0,5302.0,37.0,22.0,66.0,2,0,1,0,attack
0.8,tcp,http,SF,3.0,531.0,0.0,15.0,1,0,0,0,normal
0.31,tcp,dns,SF,397.0,559.0,11.0,6.0,0,0,0,0,normal
1.87,tcp,ftp,SF,252.0,553.0,4.0,8.0,0,0,0,0,normal
0.28,tcp,private,SF,303.0,213.0,4.0,1.0,0,0,0,0,normal
0.15,icmp,http,REJ,2970.0,107.0,46.0,24.0,3,0,0,0,attack
0.04,tcp,http,S0,4360.0,127.0,49.0,22.0,0,0,0,0,normal
0.31,tcp,http,RSTO,4673.0,146.0,42.0,37.0,1,0,1,0,attack
1.2,tcp,ssh,SF,0.0,545.0,17.0,0.0,0,0,0,0,normal
0.07,tcp,smtp,SF,80.0,313.0,15.0,3.0,0,0,0,0,normal
0.05,icmp,http,SF,3491.0,6.0,79.0,22.0,0,0,1,0,attack
6.34,tcp,private,SF,161.0,578.0,5.0,3.0,0,0,0,0,normal
7.0,tcp,http,SF,18.0,563.0,3.0,4.0,1,0,0,0,normal
1.88,icmp,private,SF,0.0,841.0,12.0,15.0,0,0,0,0,normal
1.08,udp,dns,SF,528.0,675.0,12.0,18.0,0,0,0,0,normal
0.01,icmp,private,S0,4236.0,71.0,43.0,69.0,2,0,0,0,attack
4.13,icmp,http,SF,936.0,747.0,5.0,5.0,0,0,0,0,normal
0.87,tcp,smtp,REJ,127.0,641.0,4.0,5.0,0,0,0,0,normal
0.77,tcp,dns,SF,443.0,340.0,6.0,8.0,0,0,0,0,normal
0.02,tcp,dns,S0,4395.0,32.0,54.0,81.0,0,0,0,0,attack
4.46,tcp,ftp,SF,0.0,555.0,15.0,7.0,0,0,0,0,normal
0.51,tcp,http,SF,3979.0,76.0,27.0,58.0,2,0,1,0,attack
4.7,tcp,smtp,SF,815.0,431.0,3.0,15.0,0,0,0,0,normal
0.06,tcp,ftp,RSTO,5547.0,71.0,80.0,31.0,0,0,0,0,attack
0.48,tcp,ssh,SF,229.0,529.0,12.0,12.0,1,0,0,0,normal
2.21,icmp,smtp,REJ,2754.0,39.0,58.0,20.0,0,0,2,1,attack
3.23,udp,ssh,SF,139.0,171.0,12.0,2.0,0,0,0,0,normal
9.27,tcp,private,SF,266.0,566.0,14.0,6.0,0,0,0,0,normal
1.46,udp,dns,SF,268.0,375.0,10.0,12.0,0,0,0,0,normal
0.78,udp,ftp,S0,5289.0,79.0,70.0,42.0,0,0,1,0,attack
0.05,udp,http,SF,92.0,272.0,11.0,8.0,0,0,0,0,normal
3.9,tcp,ssh,SF,338.0,628.0,8.0,0.0,0,0,0,0,normal
1.74,udp,http,RSTO,594.0,521.0,1.0,5.0,0,0,0,0,normal
2.31,tcp,ftp,SF,189.0,687.0,2.0,11.0,0,0,0,0,normal
1.58,tcp,ssh,SF,449.0,501.0,12.0,6.0,0,0,0,0,normal
2.19,tcp,ssh,SF,142.0,533.0,0.0,5.0,1,0,0,0,normal
0.39,tcp,ssh,SF,529.0,352.0,11.0,8.0,0,0,0,0,normal
0.4,udp,ssh,REJ,562.0,428.0,0.0,0.0,0,0,0,0,normal
0.0,icmp,private,REJ,3819.0,25.0,42.0,58.0,2,0,0,0,attack
0.76,tcp,smtp,SF,311.0,305.0,8.0,4.0,0,0,0,0,normal
0.44,icmp,private,SF,4161.0,52.0,74.0,75.0,1,1,0,0,attack
4.05,tcp,http,SF,24.0,680.0,7.0,7.0,0,0,0,0,normal
0.84,udp,dns,SF,164.0,376.0,8.0,9.0,1,0,0,0,normal
0.1,udp,ssh,SF,397.0,601.0,7.0,0.0,0,0,0,0,normal
1.55,tcp,smtp,SF,0.0,315.0,12.0,3.0,0,0,0,0,normal
6.39,udp,ftp,SF,284.0,514.0,15.0,4.0,0,0,0,0,normal
0.22,icmp,private,SF,4164.0,158.0,32.0,36.0,2,0,0,0,normal
0.43,tcp,ssh,SF,167.0,580.0,5.0,15.0,1,0,0,0,normal
1.99,tcp,smtp,SF,492.0,507.0,15.0,9.0,1,0,0,0,normal
0.14,icmp,http,S0,5125.0,74.0,28.0,58.0,0,1,0,0,attack
0.47,icmp,smtp,REJ,6156.0,71.0,59.0,76.0,0,0,1,0,attack
1.12,tcp,dns,SF,178.0,394.0,0.0,2.0,0,0,0,0,normal
2.59,tcp,ssh,SF,559.0,784.0,13.0,4.0,0,0,0,0,normal
0.21,udp,private,SF,206.0,330.0,0.0,14.0,0,0,0,0,normal
0.17,tcp,ftp,SF,219.0,477.0,0.0,11.0,0,0,0,0,normal
2.08,tcp,ftp,SF,738.0,227.0,12.0,16.0,0,0,0,0,normal
1.08,udp,http,S0,3960.0,0.0,40.0,26.0,3,0,0,0,attack
0.84,tcp,http,S0,3959.0,83.0,69.0,50.0,0,1,1,0,attack
0.41,icmp,private,S0,3056.0,0.0,44.0,19.0,3,0,0,0,attack
6.57,tcp,smtp,SF,421.0,362.0,3.0,10.0,0,0,0,0,normal
1.65,tcp,ftp,SF,216.0,805.0,11.0,8.0,0,0,0,0,normal
2.15,tcp,ssh,REJ,853.0,372.0,6.0,11.0,1,0,0,0,normal
0.01,udp,private,SF,68.0,641.0,10.0,10.0,0,0,0,0,attack
0.77,icmp,http,S0,2844.0,53.0,61.0,52.0,2,0,1,0,attack
0.18,tcp,ftp,SF,549.0,661.0,12.0,9.0,0,0,0,0,normal
3.29,icmp,smtp,REJ,562.0,621.0,5.0,12.0,0,0,0,0,normal
1.1,tcp,ssh,SF,789.0,488.0,6.0,17.0,0,0,0,0,normal
6.14,tcp,ftp,SF,0.0,351.0,0.0,5.0,0,0,0,0,normal
0.89,tcp,private,S0,146.0,732.0,1.0,4.0,0,0,0,0,normal
0.22,tcp,smtp,SF,156.0,600.0,0.0,3.0,0,0,0,0,normal
0.15,icmp,smtp,S0,5190.0,15.0,67.0,41.0,0,0,0,0,attack
2.98,tcp,http,SF,219.0,613.0,5.0,7.0,0,0,0,0,normal
0.75,tcp,dns,SF,0.0,617.0,0.0,9.0,0,0,0,0,normal
3.67,tcp,smtp,SF,312.0,547.0,1.0,1.0,0,0,0,0,normal
2.36,tcp,dns,SF,720.0,308.0,8.0,9.0,0,0,0,0,normal
5.2,tcp,ftp,SF,579.0,597.0,10.0,3.0,1,0,0,0,normal
0.06,tcp,smtp,SF,393.0,605.0,9.0,6.0,0,0,0,0,attack
2.72,tcp,ftp,SF,513.0,434.0,15.0,7.0,0,0,0,0,normal
0.2,tcp,private,SF,0.0,535.0,10.0,9.0,0,0,0,0,normal
1.02,icmp,http,S0,4655.0,0.0,77.0,68.0,2,0,0,0,attack
3.46,tcp,smtp,SF,186.0,350.0,4.0,2.0,0,0,0,0,normal
3.1,tcp,private,SF,408.0,624.0,14.0,2.0,1,0,0,0,normal
0.96,tcp,private,S0,309.0,634.0,0.0,8.0,0,0,0,0,normal
0.56,tcp,dns,SF,0.0,407.0,8.0,2.0,0,0,0,0,normal
3.72,tcp,dns,SF,305.0,467.0,6.0,15.0,0,0,0,0,normal
2.85,tcp,http,RSTO,7982.0,4.0,35.0,30.0,0,1,1,0,attack
1.17,tcp,smtp,SF,0.0,662.0,1.0,8.0,1,0,0,0,normal
0.14,icmp,private,S0,2822.0,105.0,68.0,40.0,0,0,0,0,attack
0.17,tcp,http,S0,4686.0,0.0,16.0,58.0,2,0,1,0,attack
4.64,tcp,ftp,SF,524.0,578.0,11.0,11.0,0,0,0,0,normal
0.68,tcp,dns,SF,594.0,478.0,14.0,0.0,0,0,0,0,normal
0.35,tcp,private,SF,3.0,664.0,0.0,0.0,0,0,0,0,normal
0.02,tcp,ftp,S0,5209.0,92.0,53.0,39.0,1,0,1,0,attack
3.2,tcp,dns,SF,161.0,689.0,4.0,8.0,0,0,0,0,normal
0.5,udp,ssh,SF,382.0,600.0,0.0,6.0,0,0,0,0,normal
5.55,tcp,smtp,SF,426.0,391.0,1.0,17.0,0,0,0,0,attack
4.95,udp,dns,SF,843.0,160.0,16.0,4.0,1,0,0,0,normal
2.55,udp,http,SF,679.0,636.0,8.0,8.0,1,0,0,0,normal
2.22,udp,ssh,SF,911.0,278.0,11.0,16.0,0,0,0,0,normal
3.34,tcp,smtp,SF,0.0,615.0,7.0,11.0,0,0,0,0,normal
0.01,tcp,private,SF,17.0,485.0,3.0,14.0,0,0,0,0,normal
4.82,tcp,smtp,SF,451.0,380.0,0.0,5.0,0,0,0,0,attack
1.3,icmp,dns,SF,0.0,807.0,3.0,15.0,0,0,0,0,normal
4.55,tcp,ssh,SF,527.0,501.0,8.0,12.0,0,0,0,0,normal
0.55,tcp,smtp,SF,249.0,473.0,12.0,11.0,0,0,0,0,normal
0.21,icmp,ftp,RSTO,5401.0,22.0,48.0,45.0,2,0,0,0,attack
1.49,tcp,http,SF,127.0,625.0,7.0,9.0,0,0,0,0,normal
0.71,tcp,smtp,SF,0.0,302.0,0.0,3.0,0,0,0,0,normal
4.58,tcp,ftp,SF,621.0,385.0,6.0,2.0,1,0,0,0,normal
0.86,tcp,ssh,SF,40.0,370.0,4.0,16.0,0,0,0,0,normal
1.73,udp,ssh,S0,0.0,417.0,5.0,5.0,0,0,0,0,normal
1.42,tcp,ftp,SF,10.0,463.0,13.0,5.0,0,0,0,0,normal
0.73,icmp,ftp,S0,3043.0,6.0,33.0,56.0,2,0,0,0,normal
0.62,tcp,http,S0,2828.0,102.0,51.0,73.0,2,0,1,0,attack
1.85,udp,private,SF,508.0,542.0,13.0,2.0,0,0,0,0,attack
1.94,tcp,ssh,SF,195.0,926.0,0.0,3.0,0,0,0,0,normal
2.78,tcp,http,SF,656.0,464.0,7.0,10.0,1,0,0,0,normal
1.27,tcp,http,SF,554.0,604.0,4.0,6.0,1,0,0,0,normal
1.35,tcp,private,REJ,2788.0,15.0,63.0,58.0,0,0,0,0,attack
1.34,udp,smtp,SF,100.0,518.0,0.0,0.0,0,0,0,0,normal
0.01,icmp,http,S0,4305.0,73.0,73.0,43.0,0,0,0,0,attack
2.2,udp,private,SF,182.0,507.0,8.0,6.0,1,0,0,0,normal
3.07,tcp,private,SF,196.0,464.0,10.0,5.0,0,0,0,0,normal
1.14,udp,dns,SF,458.0,580.0,8.0,15.0,0,0,0,0,normal
1.32,tcp,private,SF,342.0,447.0,11.0,13.0,0,0,0,0,normal
0.15,icmp,ftp,S0,3865.0,0.0,33.0,22.0,2,0,1,0,attack
0.01,udp,private,S0,4138.0,0.0,46.0,75.0,2,0,0,0,attack
0.12,tcp,dns,RSTO,5707.0,135.0,29.0,26.0,0,0,2,0,attack
0.27,icmp,private,S0,4140.0,38.0,53.0,60.0,1,0,0,0,attack
0.18,udp,smtp,SF,0.0,305.0,8.0,13.0,0,0,0,0,normal
0.23,tcp,smtp,SF,252.0,569.0,10.0,0.0,0,0,0,0,normal
0.34,tcp,ssh,REJ,0.0,408.0,4.0,1.0,1,0,0,0,normal
1.83,tcp,private,SF,18.0,845.0,1.0,2.0,0,0,0,0,normal
0.51,tcp,ssh,SF,286.0,421.0,3.0,6.0,0,0,0,0,normal
0.19,tcp,http,S0,179.0,405.0,11.0,0.0,0,0,0,0,normal
0.12,udp,smtp,REJ,4346.0,34.0,54.0,69.0,3,0,0,0,attack
0.04,icmp,http,S0,5390.0,39.0,81.0,22.0,0,0,0,0,attack
0.15,icmp,ftp,S0,4232.0,109.0,66.0,23.0,1,0,0,0,normal
0.16,tcp,http,SF,0.0,456.0,13.0,4.0,0,0,0,0,normal
0.11,tcp,http,S0,3271.0,6.0,37.0,73.0,3,0,0,0,attack
1.86,tcp,http,SF,679.0,548.0,10.0,0.0,0,0,0,0,normal
0.22,tcp,ssh,SF,85.0,308.0,4.0,14.0,0,0,0,0,normal
